symbol,v1_n_trades,v1_win_rate,v1_total_return,v1_calmar,v1_avg_hold,v2_n_trades,v2_win_rate,v2_total_return,v2_calmar,v2_avg_hold,calmar_delta,return_delta,v2_calmar_ok,v2_winrate_ok,delta_ok,passed
QQQ,46,0.2391304347826087,-72.26902978359556,(-0.21721038612039634+0j),20.934782608695652,22,0.3181818181818182,-19.413254143253663,-0.0465446613740289,24.636363636363637,(0.17066572474636743+0j),52.85577564034189,False,False,False,False
IVV,47,0.2553191489361702,-96.79112947642317,(-0.4814183874300654+0j),20.617021276595743,2,0.0,-6.292866639637095,-0.014250414904008135,25.5,(0.46716797252605724+0j),90.49826283678607,False,False,True,False
IAU,46,0.17391304347826086,19.996918364589657,(0.035418650691618536+0j),25.847826086956523,42,0.3333333333333333,-28.14095125815561,-0.07037660145291424,30.023809523809526,(-0.10579525214453278+0j),-48.13786962274527,False,False,False,False
510300,66,0.3181818181818182,-54.36805236228131,(-0.13959060501731224+0j),26.151515151515152,18,0.16666666666666666,-18.444419176811426,-0.04444548441435526,22.88888888888889,(0.09514512060295699+0j),35.92363318546988,False,False,False,False
518880,47,0.3191489361702128,-10.749800695423582,(-0.021715616930267467+0j),23.76595744680851,8,0.25,-11.173421091319696,-0.026074294428110822,16.0,(-0.004358677497843355+0j),-0.4236203958961138,False,False,False,False
BBJP,55,0.2727272727272727,-25.35502071233695,(-0.055115555136822314+0j),21.345454545454544,26,0.34615384615384615,-48.366576937264504,-0.1358144026627902,18.96153846153846,(-0.0806988475259679+0j),-23.011556224927553,False,False,False,False
EWY,77,0.2597402597402597,-167.94778149682762,(-0.23901390109157494+0.5308020869686919j),17.454545454545453,30,0.23333333333333334,-70.47340346658179,-0.23614992412138913,15.033333333333333,(0.002863976970185811-0.5308020869686919j),97.47437803024583,False,False,False,False
513910,1,1.0,3.5367242601206725,(0.060533143982312465+0j),60.0,0,0.0,0.0,0.0,0.0,(-0.060533143982312465+0j),-3.5367242601206725,False,False,False,False
