symbol,best_ma,best_k,best_sell_k,val_mean,test_total,test_win_rate,test_calmar,test_n_trades,verdict,passed
QQQ,20,2.5,2.0,-4.43692571604811,-29.484506091063704,0.18181818181818182,-0.3744359087396665,11,❌ 未通过,False
IVV,20,3.0,3.0,-12.215251646461828,-23.233791258747225,0.2,-0.2988630515475622,10,❌ 未通过,False
IAU,10,1.5,2.0,-0.02719394713940133,-5.128174079281844,0.3,-0.06825042021202998,10,❌ 未通过,False
510300,20,1.5,3.0,-7.290578692683482,43.99122380915496,0.36363636363636365,0.6286946843860513,11,❌ 未通过,False
518880,30,3.0,2.5,-4.104840585073363,7.46079768069894,0.6666666666666666,0.10680171651981585,3,❌ 未通过,False
BBJP,40,2.5,3.0,0.629226441984757,-30.90346792955524,0.0,-0.42498675176082124,8,❌ 未通过,False
EWY,40,3.0,2.5,-23.551077012126985,-51.29150339168152,0.14285714285714285,-0.6593037767716647,14,❌ 未通过,False
