date,ticker,close,ma,ma_slope,adx,volume,vol_ma20
2019-01-02,510300,3.017,3.017,0.0,,3509348.63,3509348.63
2019-01-02,159915,1.178,1.178,0.0,,6001622.59,6001622.59
2019-01-02,510500,4.409,4.409,0.0,,1669234.53,1669234.53
2019-01-02,518880,2.837,2.837,0.0,,2714671.05,2714671.05
2019-01-02,IVV,251.72,251.72,0.0,,5979977.0,5979977.0
2019-01-02,QQQ,154.88,154.88,0.0,,58576672.0,58576672.0
2019-01-02,EWY,58.07,58.07,0.0,,4477965.0,4477965.0
2019-01-02,BBJP,21.19,21.19,0.0,,876727.0,876727.0
2019-01-02,VNM,14.9,14.9,0.0,,267903.0,267903.0
2019-01-02,IAU,12.3,12.3,0.0,,25552872.0,25552872.0
2019-01-02,MUFG,4.96,4.96,0.0,,1244951.0,1244951.0
2019-01-02,FLIN,21.94,21.94,0.0,,8577.0,8577.0
2019-02-01,159915,1.221,1.2023478260869565,-0.0013722374693052397,32.03707937009467,10385764.2,6190149.509000001
2019-02-01,510500,4.618,4.582,-0.0017670838275519504,56.7949455884202,3716726.37,2089820.7224999997
2019-02-01,518880,2.852,2.8212608695652173,0.0015915674366673888,40.439433806616215,1278353.5,2861875.4115
2019-02-01,IVV,271.7,262.12227272727273,0.007278370200736925,59.34441869393211,3901763.0,4941767.9
2019-02-01,QQQ,167.45,161.48272727272726,0.006805553934814951,49.30825864516101,32143672.0,41619957.0
2019-02-01,EWY,64.04,60.86636363636364,0.015474779989579426,51.441367254991164,2015514.0,3479170.35
2019-02-01,BBJP,22.43,22.051363636363636,0.0042680610217044005,54.26023420952092,879805.0,1156755.95
2019-02-01,MUFG,5.25,5.232272727272727,0.005296523097155969,72.0225824501515,1591828.0,1767683.45
2019-02-01,FLIN,21.56,21.687272727272727,-0.003369187782455195,33.77123305779793,5196.0,8803.55
2019-03-01,159915,1.5,1.271421052631579,0.025464859754175985,52.8900384928488,9410949.41,9136617.788999999
2019-03-01,510500,5.432,4.775526315789474,0.020530548892338147,57.96712167544857,3314269.3,3035175.1
2019-03-01,518880,2.826,2.8354999999999997,0.0005185890101899425,31.16730450356588,2991462.0,3135298.0515
2019-03-01,IVV,282.31,269.2439024390244,0.006190133840423856,42.439475807054265,4203984.0,4297834.2
2019-03-01,QQQ,174.39,166.13121951219512,0.00634931279356427,34.50654433876433,31431157.0,28369756.95
2019-03-01,EWY,63.05,62.23024390243903,0.0037675773284427945,31.220502237697573,4578383.0,3082344.05
2019-03-01,BBJP,22.64,22.25780487804878,0.003093320826925242,25.43949168696839,1496778.0,533737.0
2019-03-01,VNM,16.74,15.80829268292683,0.009720266465643307,37.02876124990112,384287.0,332018.25
2019-03-01,IAU,12.36,12.5,0.0012014417300761368,27.76493012831303,29775536.0,14490978.4
