ticker,name,entries,exits,wins,win_rate,avg_win_pct,avg_loss_pct,max_loss_pct
510300,沪深300,3,3,2,0.6666666666666666,15.250047463711836,-3.65616491637496,-3.65616491637496
588000,科创50,2,2,1,0.5,9.92010652463382,-0.3964321110009883,-0.3964321110009883
159915,创业板50,1,1,1,1.0,7.259953161592514,0.0,7.259953161592514
510500,中证500,2,2,2,1.0,4.425561815731394,0.0,0.78761180082767
159302,A股红利,0,0,0,0.0,0.0,0.0,0.0
159545,A股价值,1,1,0,0.0,0.0,-1.0000000000000009,-1.0000000000000009
518880,黄金ETF,3,3,2,0.6666666666666666,3.6450903510450328,-8.102766798418969,-8.102766798418969
513180,恒生科技,1,1,0,0.0,0.0,-2.0168067226890796,-2.0168067226890796
513910,港股红利,1,1,0,0.0,0.0,-0.9181331293037553,-0.9181331293037553
513770,日经225,2,2,1,0.5,0.5602240896358524,-5.847953216374258,-5.847953216374258
IVV,标普500,5,5,2,0.4,9.335210514384716,-3.491783149875246,-4.737661386319935
QQQ,纳指100,3,3,2,0.6666666666666666,5.64986546161863,-10.599759726457814,-10.599759726457814
EWY,韩国,0,0,0,0.0,0.0,0.0,0.0
BBJP,日本,1,1,1,1.0,2.5321710253217056,0.0,2.5321710253217056
VNM,越南,2,2,1,0.5,6.0410557184750635,-1.218729955099418,-1.218729955099418
IAU,黄金信托,7,7,2,0.2857142857142857,2.2590968186864124,-1.9191607224025333,-3.3409844427441993
MUFG,日本金融,2,2,0,0.0,0.0,-2.8162983957631282,-3.290676416819005
FLIN,印度,1,1,1,1.0,0.2450980392156854,0.0,0.2450980392156854
